DATE,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI (avg. of past 24hrs) 
20-Feb,221,202,52,10,20,44,49,230
21-Feb,162,137,39,10,14,33,41,144
22-Feb,148,119,45,9,16,54,23,100
23-Feb,246,200,53,10,17,51,24,225
24-Feb,161,139,48,9,18,47,34,142
25-Feb,275,215,55,12,30,51,31,249
26-Feb,288,256,56,11,27,54,29,274
27-Feb,247,204,60,11,20,51,28,233
28-Feb,220,169,45,11,14,39,33,198
29-Feb,144,127,45,11,15,36,40,135
1-Mar,67,73,43,9,17,36,49,90
2-Mar,217,201,59,11,22,51,52,205
3-Mar,227,204,57,11,22,45,32,205
4-Mar,208,198,62,11,22,59,40,195
5-Mar,110,117,48,11,18,43,29,79
6-Mar,70,75,38,9,15,26,29,64
7-Mar,45,49,47,7,14,26,49,67
8-Mar,187,159,50,9,18,41,32,164
9-Mar,113,124,38,7,18,25,29,123
10-Mar,194,174,45,9,25,26,75,188
11-Mar,152,149,48,9,22,27,44,116
12-Mar,115,129,33,9,17,34,35,127
13-Mar,161,183,51,8,20,28,39,173
14-Mar,79,120,42,7,14,25,28,108
15-Mar,131,135,66,8,15,39,40,131
16-Mar,195,192,67,9,21,34,40,139
17-Mar,180,170,62,8,20,35,48,157
18-Mar,177,166,68,9,25,40,55,151
19-Mar,200,192,65,9,22,43,54,186
20-Mar,196,176,70,9,24,50,99,192
21-Mar,201,196,67,10,24,41,61,186
22-Mar,209,166,59,9,25,46,59,191
23-Mar,111,137,28,8,19,35,53,124
24-Mar,129,116,39,7,20,39,61,122
25-Mar,104,99,55,9,16,39,36,77
26-Mar,122,104,49,10,17,31,29,92
27-Mar,86,73,39,7,14,33,20,69
28-Mar,76,62,38,6,12,29,27,45
29-Mar,63,61,37,6,12,25,40,62
30-Mar,73,71,36,5,15,29,46,71
31-Mar,107,80,41,6,16,30,54,76
1-Apr,80,81,40,6,16,36,44,73
2-Apr,78,80,38,6,15,31,47,69
3-Apr,100,79,39,5,16,33,60,79
4-Apr,138,103,52,7,19,33,61,87
5-Apr,131,103,46,7,18,37,58,102
6-Apr,181,119,55,8,20,43,53,142
7-Apr,117,118,50,8,19,33,52,90
8-Apr,103,111,49,7,17,28,57,83
9-Apr,118,106,50,7,20,46,65,86
10-Apr,154,126,57,8,21,47,65,118
11-Apr,167,150,71,10,21,49,71,124
12-Apr,109,115,50,8,21,47,64,94
13-Apr,160,143,55,8,25,50,62,126
14-Apr,160,149,60,8,23,54,58,130
15-Apr,161,175,62,8,19,54,60,155
16-Apr,200,182,63,9,22,53,70,180
17-Apr,118,127,53,8,19,45,63,105
18-Apr,96,107,51,8,17,44,64,98
19-Apr,125,123,52,9,17,49,64,85
20-Apr,154,127,52,9,17,59,36,119
21-Apr,109,108,45,9,16,50,49,87
22-Apr,153,137,47,9,21,44,68,131
23-Apr,125,129,58,8,21,43,69,122
24-Apr,145,130,59,9,19,47,91,139
25-Apr,104,125,45,8,13,43,70,98
26-Apr,109,134,43,8,16,51,54,120
27-Apr,73,72,37,8,11,46,66,89
28-Apr,92,88,50,9,16,43,65,100
29-Apr,136,125,55,10,17,49,73,125
30-Apr,159,161,53,10,18,48,80,138
1-May,174,167,56,10,19,57,76,146
2-May,133,151,52,11,17,50,67,112
3-May,130,142,52,10,15,51,55,93
4-May,150,123,52,10,16,50,58,94
5-May,181,158,58,9,20,48,88,119
6-May,172,179,66,9,17,51,65,139
7-May,137,153,54,8,18,44,99,127
8-May,109,151,55,8,17,51,121,134
9-May,129,163,54,9,17,52,116,144
10-May,138,170,53,10,17,51,68,121
11-May,107,139,54,9,16,48,81,116
